VERSION,LINK,DESC,SOURCE
4.0.18,http://lists.mysql.com/mysql/162897,MySQL Lists: mysql: connection errors when making lot of connections continiously.,mailing_list
5.0.45,http://lists.mysql.com/mysql/211529,MySQL Lists: mysql: /tmp/mysql.sock dissapears,mailing_list
5.5.x,http://dba.stackexchange.com/questions/1927/why-does-mysql-say-im-out-of-memory,why does mysql say im out of memory,dba.stackexchange.com
3.26.47,http://lists.mysql.com/mysql/99818,MySQL Lists: mysql: problems with default-character-set=cp1251,mailing_list
unknown,http://serverfault.com/questions/362595/mysql-bind-on-unix-socket-permission-denied,mysql bind on unix socket permission denied,serverfault.com
5.0.x,http://lists.mysql.com/mysql/215626,MySQL Lists: mysql: Partial Replication,mailing_list
unknown,http://serverfault.com/questions/531632/mysql-is-running-slow-on-db-import,mysql is running slow on db import,serverfault.com
unknown,http://serverfault.com/questions/151966/problem-setting-up-master-master-replication-in-mysql,problem setting up master master replication in mysql,serverfault.com
5.1.52,http://lists.mysql.com/mysql/228299,MySQL Lists: mysql: BINLOG data,mailing_list
4.0.14,http://lists.mysql.com/mysql/147840,MySQL Lists: mysql: mysql 4.0.14 + replication + windows XP PROF,mailing_list
5.6.10,http://stackoverflow.com/questions/15765168/mysql-access-denied-for-user-rootlocalhost,mysql access denied for user rootlocalhost,stackoverflow.com
unknown,http://serverfault.com/questions/432109/server-quit-without-updating-pid-file-on-multiple-mysql-installation-in-linux,server quit without updating pid file on multiple mysql installation in linux,serverfault.com
unknown,http://lists.mysql.com/mysql/112445,MySQL Lists: mysql: The Character Set Used for Data and Sorting,mailing_list
unknown,http://stackoverflow.com/questions/10191349/mysql-on-ec2-instance-slow-results-after-the-first-query,mysql on ec2 instance slow results after the first query,stackoverflow.com
unknown,http://lists.mysql.com/mysql/160588,MySQL Lists: mysql: Can't connect,mailing_list
3.23.36,http://lists.mysql.com/mysql/135989,MySQL Lists: mysql: [mysqld ],mailing_list
5.0.x,http://lists.mysql.com/mysql/218162,"MySQL Lists: mysql: Copy 70GB ibdata, etc. and server won't start now",mailing_list
3.23.52,http://lists.mysql.com/mysql/122426,MySQL Lists: mysql: MySQL-max-3.23.52-win,mailing_list
unknown,http://stackoverflow.com/questions/5737089/two-mysql-servers,two mysql servers,stackoverflow.com
3.23.51,http://lists.mysql.com/mysql/117291,MySQL Lists: mysql: Packet is larger than max_allowed_packet,mailing_list
3.23.44 ,http://lists.mysql.com/mysql/92051,MySQL Lists: mysql: Access denied for user: 'myuser@localhost',mailing_list
5.5.x,http://stackoverflow.com/questions/16321847/how-can-wait-timeout-interactive-timeout-be-ignored,how can wait timeout interactive timeout be ignored,stackoverflow.com
unknown,http://stackoverflow.com/questions/3666352/mysql-fails-to-start-and-i-cant-see-why,mysql fails to start and i cant see why,stackoverflow.com
4.0.3,http://lists.mysql.com/mysql/121762,MySQL Lists: mysql: Replication issues,mailing_list
unknown,http://lists.mysql.com/mysql/92150,MySQL Lists: mysql: mysql win32 binary w/ innodb: error number 3,mailing_list
unknown,http://stackoverflow.com/questions/6095922/mysql-connection-from-remote-pc,mysql connection from remote pc,stackoverflow.com
3.23.34,http://lists.mysql.com/win32/5376,MySQL Lists: win32: Fw: MySQL on W2K service keeps shutting down,mailing_list
5.0.22,http://lists.mysql.com/mysql/216391,MySQL Lists: mysql: Re: Resend: enabling storage engine with RPM install,mailing_list
5.0.50,http://stackoverflow.com/questions/17939730/mysql-out-of-memory-needed-xxxxxxx-bytes,mysql out of memory needed xxxxxxx bytes,stackoverflow.com
5.5.30,http://dba.stackexchange.com/questions/35284/mysql-cant-create-test-file-1067-error,mysql cant create test file 1067 error,dba.stackexchange.com
5.5.x,http://serverfault.com/questions/329298/could-not-start-the-service-mysql-error0-how-to-get-mysql-5-5-server-running,could not start the service mysql error0 how to get mysql 5 5 server running,serverfault.com
unknown,http://serverfault.com/questions/323175/cant-start-mysqld-on-centos5-after-attempting-to-upgrade-to-php-5-3,cant start mysqld on centos5 after attempting to upgrade to php 5 3,serverfault.com
3.23.32,http://lists.mysql.com/mysql/65205,MySQL Lists: mysql: distinct problem with join and order by,mailing_list
unknown,http://serverfault.com/questions/233496/remi-repo-mysql-server-not-starting,remi repo mysql server not starting,serverfault.com
5.1.69,http://serverfault.com/questions/538652/mysql-5-1-69-at-centos-6-4-doesnt-know-enable-named-pipe,mysql 5 1 69 at centos 6 4 doesnt know enable named pipe,serverfault.com
3.23.15,http://lists.mysql.com/mysql/39054,MySQL Lists: mysql: replication don't work in 3.23.15 on aix,mailing_list
unknown,http://lists.mysql.com/cluster/6240,MySQL Lists: cluster: cluster performance,mailing_list
3.23.42,http://lists.mysql.com/mysql/88608,MySQL Lists: mysql: what does it mean Open_files?,mailing_list
3.23.49a,http://lists.mysql.com/mysql/103499,MySQL Lists: mysql: setting up replication woes,mailing_list
4.0.13,http://lists.mysql.com/mysql/147435,MySQL Lists: mysql: Replication Problem...,mailing_list
4.0.x,http://lists.mysql.com/mysql/184842,MySQL Lists: mysql: Import dump (4.0 > 4.1) and collation problem,mailing_list
5.0.45-Debian_1,http://lists.mysql.com/cluster/5517,"MySQL Lists: cluster: INSERT not working, error 879 (?)",mailing_list
3.23.54,http://lists.mysql.com/mysql/136677,MySQL Lists: mysql: remote connection to mysql server,mailing_list
5.5.30,http://dba.stackexchange.com/questions/41475/mysql-innodb-does-not-return-the-last-row-on-select-with-desc-order,mysql innodb does not return the last row on select with desc order,dba.stackexchange.com
4.0.16,http://lists.mysql.com/mysql/153348,MySQL Lists: mysql: AMD64 Performance,mailing_list
4.1.11,http://lists.mysql.com/mysql/183683,MySQL Lists: mysql: Re: no /tmp/mysql.sock,mailing_list
unknown,http://lists.mysql.com/mysql/129831,MySQL Lists: mysql: Can't create new thread,mailing_list
unknown,http://serverfault.com/questions/183573/mysql-my-cnf-for-a-50gb-of-ram-server,mysql my cnf for a 50gb of ram server,serverfault.com
5.5.21,http://serverfault.com/questions/488489/mysql-database-config-optimization,mysql database config optimization,serverfault.com
3.22.x,http://lists.mysql.com/win32/8159,MySQL Lists: win32: Re: Installation mySQL Database on Non System Drive (Win200  Server)),mailing_list
5.5,http://dba.stackexchange.com/questions/52761/understanding-indexes-and-using-them-better,understanding indexes and using them better,dba.stackexchange.com
5.5.28,http://serverfault.com/questions/463075/nginx-php-fpm-mysql-high-cpu-low-ram,nginx php fpm mysql high cpu low ram,serverfault.com
5.1.x,http://serverfault.com/questions/81341/moving-a-mysql-innodb-data-partition-from-one-computer-to-the-other,moving a mysql innodb data partition from one computer to the other,serverfault.com
3.23.x,http://lists.mysql.com/mysql/131054,MySQL Lists: mysql: my.ini,mailing_list
4.0.12,http://lists.mysql.com/win32/10928,MySQL Lists: win32: Replication issues 4.0.12,mailing_list
5.1.57,http://dba.stackexchange.com/questions/61495/mysql-high-cpu-usage-myisam-tables,mysql high cpu usage myisam tables,dba.stackexchange.com
unknown,http://lists.mysql.com/mysql/153618,MySQL Lists: mysql: Time consuming table regeneration: JAVA & MySQL,mailing_list
5.1.47,http://dba.stackexchange.com/questions/41694/mysqld-dead-but-subsys-locked,mysqld dead but subsys locked,dba.stackexchange.com
unknown,http://lists.mysql.com/mysql/224759,MySQL Lists: mysql: Re: Can't connect to MySQL server on '127.0.0.1' (111),mailing_list
5.0.16,http://lists.mysql.com/mysql/192066,MySQL Lists: mysql: Re: chroot in MySQL 5.0,mailing_list
unknown,http://serverfault.com/questions/281217/problem-moving-a-mysql-data-directory-to-a-new-drive,problem moving a mysql data directory to a new drive,serverfault.com
5.1.69,http://dba.stackexchange.com/questions/49119/how-to-configure-mysql-master-slave-to-backup-master-to-slave,how to configure mysql master slave to backup master to slave,dba.stackexchange.com
