FILENAME,VERSION,LINK,DESC,SOURCE
033a424b6e572286075be955d23665f3.cnf,5.1.26,http://stackoverflow.com/questions/19531109/128mb-ram-for-mysql-from-mediatemple-my-cnf-tweaks,128mb ram for mysql from mediatemple my cnf tweaks,stackoverflow.com
d502adc46ef3cb33944ce83996441060.cnf,5.0.x,http://lists.mysql.com/mysql/160200,"MySQL Lists: mysql: Bug on MYSQL-5.0 in statement ""OPTIMIZE TABLE""",mailing_list
6c5fd99ec0d64b4bedb14c1c1f3fa526.cnf,5.0.0,http://lists.mysql.com/mysql/171690,MySQL Lists: mysql: bug report!!,mailing_list
f815794017939d82b292ca65568efcb4.cnf,5.0.1,http://lists.mysql.com/mysql/174844,MySQL Lists: mysql: Replication Issue,mailing_list
de305084c7e06ebd5da4f84ed4e6af38.cnf,5.0.16,http://lists.mysql.com/win32/17865,MySQL Lists: win32: I can't start mysql from the windows command line,mailing_list
8da63686ffa301eaac31e1b7daa7f4d5.cnf,5.5.28,http://lists.mysql.com/win32/19175,MySQL Lists: win32: mysql threads too high,mailing_list
762388ab335eadf6ab6fab10f3705c08.cnf,5.0.16,http://lists.mysql.com/mysql/192066,MySQL Lists: mysql: Re: chroot in MySQL 5.0,mailing_list
8b3b330695ab795d8c723c506a8c9be9.cnf,5.0.x,http://lists.mysql.com/mysql/192158,MySQL Lists: mysql: Re: MyIsam Vs InnoDB,mailing_list
6602ce227a21fcfe6e91c50cc42a5bbf.cnf,5.0.18,http://lists.mysql.com/mysql/193465,MySQL Lists: mysql: Help...I am desparate,mailing_list
31903ca8bb70be8dc50a389556aea486.cnf,5.0.x,http://lists.mysql.com/mysql/193564,MySQL Lists: mysql: ~75% performance drop upgrading from Mysql 4.0 to 5.0,mailing_list
993af96aa93a8fed584d9230f4098dcc.cnf,5.0.x,http://lists.mysql.com/mysql/194165,MySQL Lists: mysql: Troubles installing MySQL5 via Darwin Ports,mailing_list
ce192343fe7a88f506771881be929b84.cnf,5.0.18,http://lists.mysql.com/mysql/197607,MySQL Lists: mysql: Re: Mysql on Production Servers,mailing_list
b27c8010e2ddb3d20d3fd086a09703ec.cnf,5.1.30,http://stackoverflow.com/questions/1980004/2006-mysql-server-has-gone-away-error-in-wamp,2006 mysql server has gone away error in wamp,stackoverflow.com
32747d512caee7e00760cbc7a6378eb8.cnf,5.0.x,http://lists.mysql.com/mysql/200764,MySQL Lists: mysql: query logging is making me mental!,mailing_list
710a8b2dc9fc55147b00dccdd6dd0e42.cnf,5.0.24,http://lists.mysql.com/mysql/201584,MySQL Lists: mysql: mysql_upgrade script problems on MySQL 5.0.24,mailing_list
e88d7dc568573853819ba769e6af44a9.cnf,5.0.x,http://lists.mysql.com/mysql/204496,MySQL Lists: mysql: Re: Strange InnoDB Deadlock Behavior,mailing_list
b626002ae715345bb4ffbd4c7ddb99e5.cnf,5.0.26-pro-log,http://lists.mysql.com/mysql/205833,MySQL Lists: mysql: HPUX out of memory errors - kernel tuning?,mailing_list
9fd55db094dabf43c7a45208edb6d4a9.cnf,5.0.37,http://lists.mysql.com/mysql/207526,MySQL Lists: mysql: mysqldump problem with large innodb tables...,mailing_list
28b54a724cd295488e6918b8f91d7496.cnf,5.0.27,http://lists.mysql.com/mysql/208739,MySQL Lists: mysql: servers full potential / FT searches locking tables,mailing_list
2125d4da2b73c5cc3b82869c1143f743.cnf,5.0.45,http://lists.mysql.com/mysql/211529,MySQL Lists: mysql: /tmp/mysql.sock dissapears,mailing_list
ddb5c815cc8866be289f3476caa7bf97.cnf,5.1.x,http://lists.mysql.com/mysql/215177,MySQL Lists: mysql: RE: Tuning a MySQL desktop database,mailing_list
b84a9639273e795d550c463d49869475.cnf,5.1.57,http://dba.stackexchange.com/questions/61495/mysql-high-cpu-usage-myisam-tables,mysql high cpu usage myisam tables,dba.stackexchange.com
b8eb14f2f4d669ded4c0b3b853da4dc7.cnf,5.5.33,http://dba.stackexchange.com/questions/51075/mysql-high-delay-in-critical-peak-professional-help-request,mysql high delay in critical peak professional help request,dba.stackexchange.com
c91eeef6ebc84fc23a11be7871efbd04.cnf,5.5.24,http://dba.stackexchange.com/questions/25180/mysql-high-load,mysql high load,dba.stackexchange.com
5914161f767eb967a13ec03872adab08.cnf,5.1.54,http://stackoverflow.com/questions/11985023/mysql-hit-a-max-limit,mysql hit a max limit,stackoverflow.com
