SOFTWARE,LINK,TYPE,SUBTYPE,DESC
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201104.mbox/%3C869F47DA19D04C20ADB8ADB9F46927B3@RINGRING%3E,DIFFICULTY,FINDING KNOBS,start-up with safe mode?
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201103.mbox/%3C4D6D2BC0.1040809@kalooga.com%3E,DIFFICULTY,FINDING KNOBS,different hadoop.tmp.dir for master and slaves (CDH3B4)
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200905.mbox/%3CBAY102-DS77C63A450CC66B566AC68BC5E0@phx.gbl%3E,DIFFICULTY,FINDING KNOBS,Append in Hadoop
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200801.mbox/%3C4c817d530801081108y75b741e9ld16fbd6ca44ba293@mail.gmail.com%3E,DIFFICULTY,FINDING KNOBS,Limit the space used by hadoop on a slave node
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-user/201401.mbox/%3CCACbLQ=1LotQR8tbXVLTEz3bEqhWwEwSiF+RN_gJbFUccLGejVQ@mail.gmail.com%3E,DIFFICULTY,FINDING KNOBS,Block size
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-hdfs-user/201206.mbox/%3C305172716-1340719954-cardhu_decombobulator_blackberry.rim.net-1660870675-@b17.c15.bise7.blackberry%3E,DIFFICULTY,FINDING KNOBS,change hdfs block size for file existing on HDFS
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201011.mbox/%3C4CDC1886.4050403@gmail.com%3E,DIFFICULTY,FINDING KNOBS,Java heap space error on PFPGrowth
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201206.mbox/%3CD634846B95D967479F3D9764E36EFCF1031133@MERCMBX14D.na.SAS.com%3E,DIFFICULTY,FINDING KNOBS,hadoop file permission 1.0.3 (security)
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201007.mbox/%3CAANLkTim_eETJQC5h4a1MeTGDeyvve-pK9-Q0aA-DOgQO@mail.gmail.com%3E,DIFFICULTY,FINDING KNOBS,How to control the number of map tasks for each nodes?
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201306.mbox/%3CCAHH8OOc+nYr-aNSCLcQnNTb6tvAf3y0H+A3S8ho_9k-24BRZyA@mail.gmail.com%3E,DIFFICULTY,FINDING KNOBS,How Yarn execute MRv1 job?
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-mapreduce-user/201309.mbox/%3C52435D1C.1090008@gmail.com%3E,DIFFICULTY,FINDING KNOBS,set the number of reduce tasks in the wordcount by command line
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-hdfs-user/201312.mbox/%3Ctrinity-9718788b-7073-4700-b160-c95a87b5b33e-1386088727707@3capp-webde-bs11%3E,DIFFICULTY,FINDING KNOBS,mapreduce.jobtracker.expire.trackers.interval no effect
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201401.mbox/%3CCABGiY4DajcitwwyJ7jrthMjHpG4jK8Y2HGmZ8w15k+V_G7n+Jg@mail.gmail.com%3E,DIFFICULTY,FINDING KNOBS,How to configure multiple reduce jobs in hadoop 2.2.0
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201306.mbox/%3CCAG4QEv5nAacVpi0z+7LN3WgrWBRO97ok4_qhaZnY2qGxtJscUw@mail.gmail.com%3E,DIFFICULTY,FINDING KNOBS,Now give .gz file as input to the MAP
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201204.mbox/%3C4F79B4E1.5080408@ugent.be%3E,DIFFICULTY,FINDING KNOBS,HADOOP_OPTS to tasks
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200806.mbox/%3C82450.71496.qm@web53612.mail.re2.yahoo.com%3E,DIFFICULTY,FINDING KNOBS,setrep
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201311.mbox/%3CCACeqxwTV_zLL6gG=mXFqjotBmVXXCoGdrGPh99Z4C8UtOmHZuQ@mail.gmail.com%3E,DIFFICULTY,FINDING KNOBS,issue about set the memory for each container
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-user/201310.mbox/%3CCAGpGnSJMEH+QXBdaHRrg+Nf9rah1xD_m0QoO7QLkENvirm6_KA@mail.gmail.com%3E,DIFFICULTY,FINDING KNOBS,Hadoop-2.0.1 log files deletion
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201110.mbox/%3CCAOF-Kfin7MFnAFLomraoTiViqYrTjBZb1tSc0o9e_Sdy3zprHQ@mail.gmail.com%3E,DIFFICULTY,FINDING KNOBS,default timeout of datanode
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200804.mbox/%3C4cc657e40804231637i30ea9d5bv9ffe741e98a1453b@mail.gmail.com%3E,DIFFICULTY,FINDING KNOBS,Please Help: Namenode Safemode
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201012.mbox/%3CAANLkTikVfgjqx7zd+cZOZ0JdcddT0TJQdv9RtYhZHsKC@mail.gmail.com%3E,DIFFICULTY,FINDING KNOBS,"Running not as ""hadoop"" user"
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201106.mbox/%3C4DEA6801.10209@gmail.com%3E,DIFFICULTY,FINDING KNOBS,Backing up namenode
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200909.mbox/%3C77938bc20909290818i14c9645di41275fa010df74a5@mail.gmail.com%3E,DIFFICULTY,FINDING KNOBS,Read only mode timeout
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-mapreduce-user/201210.mbox/%3C1349195676.38555.YahooMailNeo@web125301.mail.ne1.yahoo.com%3E,DIFFICULTY,FINDING KNOBS,How to lower the total number of map tasks
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-user/201311.mbox/%3CCACp0qUEX1SYbgTDp_dj-k8bko6=fGxB3imCsnfz8V7uy=R8pjg@mail.gmail.com%3E,DIFFICULTY,FINDING KNOBS,Java Heap space Exception
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/200708.mbox/%3C001001c7e360$b1adee40$42afe442@ds.corp.yahoo.com%3E,DIFFICULTY,FINDING KNOBS,how to deal with large amount of key value pair outputs in one run of map task
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-user/201302.mbox/%3C5127792D.5040803@astek.fr%3E,DIFFICULTY,FINDING KNOBS,adding space on existing datanode ?
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201010.mbox/%3C4CB3787B.2050403@uchicago.edu%3E,DIFFICULTY,FINDING KNOBS,load a serialized object in hadoop
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201112.mbox/%3CCAMbwnT_LxBKadBg-s9xgHXPSMptR7=1pj2VzyUiA_DDkC_7csw@mail.gmail.com%3E,DIFFICULTY,FINDING KNOBS,HDFS Backup nodes
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201102.mbox/%3CAANLkTin0p9eReDAdj1MY7HMNdh7XDq2wG0bRTGkw_ox7@mail.gmail.com%3E,DIFFICULTY,SETTING KNOBS,multiple namenode directories
hadoop,http://www.mail-archive.com/core-user@hadoop.apache.org/msg09690.html,DIFFICULTY,SETTING KNOBS,specific block size for a file
hadoop,http://mail-archives.apache.org/mod_mbox/hadoop-common-user/201306.mbox/%3CC83B1CD20DD48B4DB4AB87089B0117FA956FA7111D@VMBX103.ihostexchange.net%3E,DIFFICULTY,SETTING KNOBS,Two Datanodes - Incompatible Cluster IDs
